"country","2000_tb_deaths_per_100k","2001_tb_deaths_per_100k","2002_tb_deaths_per_100k","2003_tb_deaths_per_100k","2004_tb_deaths_per_100k","2005_tb_deaths_per_100k","2006_tb_deaths_per_100k","2007_tb_deaths_per_100k","2008_tb_deaths_per_100k","2009_tb_deaths_per_100k","2010_tb_deaths_per_100k","2000_gov_health_spending_usd","2001_gov_health_spending_usd","2002_gov_health_spending_usd","2003_gov_health_spending_usd","2004_gov_health_spending_usd","2005_gov_health_spending_usd","2006_gov_health_spending_usd","2007_gov_health_spending_usd","2008_gov_health_spending_usd","2009_gov_health_spending_usd","2010_gov_health_spending_usd"
"Rwanda",16,13,14,15,14,17,17,16,15,14,12,3.54,4.22,4.21,6.97,7.73,10.3,16.5,17.2,20.9,25.1,27.8
"Samoa",2.3,1.2,1.7,1.4,1.8,1.3,1.3,1.1,0.62,0.82,0.71,60.6,58.3,65.4,73.5,86.5,92.7,110,142,144,132,179
"San Marino",0,0,0,0,0,0,0,0,0,0,0,1860,1880,2580,2430,2910,2910,2940,3310,3600,3290,3120
"Sao Tome and Principe",24,24,22,26,28,31,33,21,15,17,26,19.6,19.1,21.4,39.9,37,43.3,32.3,33,35.6,37.3,34.5
"Saudi Arabia",5.1,5,4.9,4.9,4.7,4.5,4.3,4.1,4,3.8,3.6,287,288,272,278,286,339,401,409,375,380,427
"Senegal",35,35,35,30,31,28,27,27,24,24,24,7.85,8.4,10.4,13.9,16.2,23.9,28,31.7,35.5,32.5,32.5
"Seychelles",2.6,2.6,4.6,0,0,2.2,1.1,1.2,2.3,4.3,0.23,311,309,330,373,401,411,428,381,332,280,339
"Sierra Leone",120,112,113,111,110,96,98,81,73,70,61,3.18,4,4.48,4.73,3.2,4.38,4.01,2.82,4.58,4.75,4.82
"Singapore",3.7,3.4,3,2.7,2.4,2.1,1.9,2.3,2.2,1.9,2,298,273,241,320,283,302,323,367,458,553,629
"Slovak Republic",1,1.1,1.2,1.3,0.98,0.88,0.88,0.66,0.79,0.79,0.66,186,193,228,318,417,466,520,720,948,968,930
"Slovenia",1.1,1.4,1.2,1.5,0.66,0.96,0.94,1.5,1.8,1.2,1,614,646,734,904,1030,1080,1160,1320,1660,1640,1590
